sim,year,cx,cy,cz,volume,mass_kg
14,50,5050.0,2550.0,1387.9,464840.0,20163295.54
14,60,5050.0,2550.0,1387.92,464840.0,25512615.275
14,80,5050.0,2550.0,1374.67,929680.0,35543739.64
14,100,5050.0,2550.0,1368.59,929680.0,45076594.084
14,120,5060.91,2550.0,1362.79,1394520.0,53897118.46
14,150,5061.46,2550.0,1354.07,1859360.0,66131686.755
14,200,5079.97,2550.0,1349.56,2324200.0,86557257.164
15,20,5050.0,2550.0,1046.56,2425150.0,27858465.3
15,30,5054.29,2550.56,1010.39,4365270.0,66857483.314
15,40,5070.7,2555.03,991.13,7275450.0,109072305.66
15,50,5081.09,2554.41,982.31,11640720.0,152232156.78
15,60,5094.96,2553.16,978.07,11640720.0,191863309.11
15,80,5121.62,2559.21,972.15,16976050.0,262747815.71
15,100,5147.19,2560.5,966.89,22311380.0,329329578.94
15,120,5168.19,2558.34,962.19,26191620.0,389316544.2
15,150,5195.26,2555.67,955.37,30556890.0,470454885.48
15,200,5233.78,2549.69,943.96,38802400.0,600398450.48
17,20,5068.25,2550.15,304.27,10232180.0,33629761.088
17,30,5135.97,2561.65,246.37,26801600.0,79820001.6
17,40,5212.94,2542.94,228.17,38501120.0,129954013.45
17,50,5266.8,2536.88,229.53,57995420.0,181262776.76
17,60,5340.03,2529.28,221.86,79057060.0,228217196.47
17,80,5471.35,2509.01,203.34,121827890.0,311862671.88
17,100,5582.8,2493.72,186.06,165573680.0,390353132.54
17,120,5685.35,2486.07,174.02,202357270.0,460910536.97
17,150,5799.9,2488.07,164.33,249967870.0,556142665.77
17,200,5926.15,2503.43,158.43,309377990.0,708122781.9
18,20,5050.0,2550.0,1050.57,2425150.0,22510912.147
18,30,5050.0,2550.0,958.43,4365270.0,54409980.424
18,40,5081.19,2531.81,815.09,8245510.0,88829280.08
18,50,5138.9,2516.95,757.47,11640720.0,123976024.31
18,60,5192.4,2501.6,733.65,15520960.0,156379508.99
18,80,5271.86,2475.93,717.72,24251500.0,214614070.83
18,100,5337.9,2453.12,706.96,27646710.0,269378024.13
18,120,5382.43,2449.54,700.82,32011980.0,318849626.24
18,150,5430.35,2457.98,696.6,37832340.0,385934854.91
18,200,5513.49,2477.26,693.57,48503000.0,493821479.41
22,10,5050.0,2550.0,1315.97,1859360.0,22190059.099
22,20,5079.68,2578.8,1266.8,3253880.0,108961503.66
22,30,5114.67,2615.4,1253.49,5598270.0,209466951.52
22,40,5143.5,2645.93,1245.54,7922470.0,319921216.48
22,50,5178.34,2658.47,1245.84,9781830.0,433484383.14
22,60,5213.85,2660.96,1245.08,11681570.0,535809311.48
22,80,5290.69,2642.5,1239.77,19361290.0,714743955.81
22,100,5365.9,2621.09,1212.3,30729210.0,881889510.67
22,120,5428.52,2606.61,1158.81,42879460.0,1030601095.8
22,150,5466.33,2596.48,1142.1,52592310.0,1229354314.9
22,200,5500.3,2588.24,1139.1,62277620.0,1541470961.0
23,20,5050.0,2550.0,489.92,2432500.0,8200375.8727
23,30,5079.21,2550.0,454.79,2919980.0,19879863.972
23,40,5083.44,2550.0,442.79,2919980.0,32283953.224
23,50,5077.56,2550.0,449.24,2919980.0,44870720.611
23,60,5074.35,2550.0,458.11,2919980.0,56712135.489
23,80,5072.48,2550.0,466.17,4379970.0,78505872.541
23,100,5073.83,2550.53,471.73,7290150.0,99121398.669
23,120,5078.8,2550.99,474.83,8747690.0,117995459.36
23,150,5085.01,2552.71,476.39,12152700.0,143915357.96
23,200,5094.89,2555.93,478.21,15550360.0,186479610.85
24,40,5050.0,2550.0,834.43,970060.0,16721758.451
24,50,5050.0,2550.0,893.86,2425150.0,23161411.499
24,60,5050.0,2550.0,892.03,2425150.0,29300642.955
24,80,5050.0,2550.0,889.27,2425150.0,40775825.108
24,100,5071.41,2550.0,880.93,3880240.0,51672262.376
24,120,5079.11,2550.0,883.62,4365270.0,61735962.018
24,150,5087.47,2550.0,887.77,4850300.0,75670830.378
24,200,5108.79,2550.0,885.37,5820360.0,98868489.923
25,40,5050.0,2550.0,493.9,974960.0,5945749.185
25,50,5050.0,2550.0,543.51,2430050.0,8190483.0813
25,60,5050.0,2550.0,547.68,2430050.0,10375860.192
25,80,5050.0,2550.0,541.04,2917530.0,14560782.43
25,100,5050.0,2550.0,486.6,4379970.0,18558613.509
25,120,5050.0,2550.0,433.21,4867450.0,22302250.739
25,150,5052.0,2548.63,366.66,6817370.0,27553324.405
25,200,5063.26,2557.16,294.38,11204690.0,36484921.472
26,20,5050.0,2550.0,1140.01,949870.0,14477555.621
26,30,5050.0,2550.0,1145.12,2404960.0,35152853.026
26,40,5050.0,2543.44,1141.59,2889990.0,57309002.424
26,50,5050.0,2528.43,1118.13,3375020.0,79872830.46
26,60,5052.73,2518.21,1103.38,4345080.0,100857541.74
26,80,5059.34,2512.25,1092.24,5315140.0,138960704.17
26,100,5072.91,2508.73,1089.24,6770230.0,174883923.37
26,120,5083.84,2508.71,1092.65,7255260.0,207523264.2
26,150,5100.31,2511.11,1099.13,7740290.0,252026034.66
26,200,5109.26,2514.21,1106.79,6770230.0,324243196.52
27,20,5050.0,2550.0,1229.86,2111970.0,77710355.61
27,30,5053.46,2550.0,1232.64,3274070.0,162119777.24
27,40,5062.83,2550.01,1247.26,6760370.0,254624666.29
27,50,5081.36,2550.18,1257.88,12803290.0,349636547.1
27,60,5108.85,2549.7,1263.57,16522010.0,435544280.27
27,80,5158.73,2549.56,1269.82,23262190.0,586397969.46
27,100,5212.84,2548.43,1273.73,30467210.0,727456577.86
27,120,5259.97,2547.78,1275.5,34650770.0,853248657.31
27,150,5329.67,2544.33,1277.72,43250310.0,1021741934.2
27,200,5426.56,2541.99,1279.86,53961820.0,1287297815.6
28,20,5050.0,2550.0,696.84,2425150.0,15930949.251
28,30,5063.98,2549.82,645.96,6305390.0,38670978.934
28,40,5105.48,2549.92,619.34,9700600.0,63076416.935
28,50,5142.16,2547.72,609.72,14550900.0,87945668.501
28,60,5178.44,2543.91,607.13,17461080.0,111030222.85
28,80,5238.97,2542.72,603.95,21341320.0,152851705.1
28,100,5290.69,2541.11,602.27,24736530.0,192258595.38
28,120,5343.86,2537.51,602.59,29101800.0,228017821.75
28,150,5400.34,2535.61,602.98,33467070.0,276716009.98
28,200,5466.05,2530.12,604.54,37832340.0,355585132.23
29,80,5050.0,2550.0,456.77,2434950.0,5811265.4701
29,100,5050.0,2550.0,455.38,2434950.0,7445307.491
29,120,5050.0,2550.0,458.1,2434950.0,8994481.9698
29,150,5050.0,2550.0,454.59,2922430.0,11192559.114
29,200,5050.0,2550.0,387.49,4384870.0,15003857.879
30,30,5050.0,2550.0,1246.71,2364580.0,29369224.875
30,40,5050.0,2550.0,1238.58,2849610.0,47826969.5
30,50,5054.25,2550.0,1213.45,3334640.0,66603160.027
30,60,5059.83,2550.9,1196.85,4304700.0,84128625.575
30,80,5067.54,2553.63,1177.85,6244820.0,116086473.05
30,100,5081.02,2552.36,1172.69,8144560.0,146247618.25
30,120,5089.67,2552.71,1172.71,8609400.0,173717302.71
30,150,5108.83,2553.7,1169.34,10549520.0,211256323.95
30,200,5131.25,2555.67,1166.36,12004610.0,272401136.47
31,20,5055.35,2549.88,279.45,11927470.0,56689008.337
31,30,5078.12,2533.07,166.38,24212290.0,126096437.73
31,40,5090.74,2526.95,163.92,30352250.0,201922046.05
31,50,5103.6,2524.19,180.09,38669810.0,279713070.93
31,60,5118.92,2522.91,198.71,43584810.0,350325197.73
31,80,5142.22,2522.66,219.97,46980020.0,474900272.94
31,100,5162.18,2522.64,233.6,50430130.0,591519922.23
31,120,5187.18,2522.88,255.84,53830240.0,695788040.01
31,150,5207.52,2523.0,265.41,57875180.0,835797181.65
31,200,5235.68,2524.14,284.09,60845160.0,1057357185.6
32,20,5051.4,2550.0,1205.49,3799480.0,65062224.712
32,30,5055.63,2549.93,1100.24,7194690.0,140999134.08
32,40,5064.29,2550.63,1063.16,11792380.0,224077716.1
32,50,5078.23,2547.34,1036.6,16875100.0,309354889.53
32,60,5080.81,2552.72,1014.98,21240370.0,386623542.72
32,80,5077.91,2556.96,995.37,27060730.0,522650065.45
32,100,5078.17,2566.17,980.43,34821210.0,649922944.18
32,120,5076.19,2577.15,962.47,45976900.0,763580465.46
32,150,5073.12,2590.61,938.38,55677500.0,916023977.3
32,200,5076.58,2608.57,901.79,71915910.0,1156811752.3
33,20,5051.52,2559.3,284.26,6334790.0,18507539.503
33,30,5049.06,2588.19,130.1,21121710.0,44876758.352
33,40,5091.85,2597.28,115.31,29171390.0,73243555.515
33,50,5121.14,2601.98,110.89,32933750.0,102175987.0
33,60,5150.21,2604.68,111.17,35421150.0,128952336.1
33,80,5192.39,2612.98,108.67,41908390.0,177292008.17
33,100,5198.43,2615.6,108.14,43370830.0,222801371.96
33,120,5203.44,2617.59,108.61,45858230.0,264016934.18
33,150,5204.39,2618.95,109.1,47520670.0,320041069.83
33,200,5208.2,2620.14,109.43,51083030.0,410496201.42
34,10,5050.0,2550.0,431.49,4382420.0,15173023.574
34,20,5116.4,2668.55,49.99,39543580.0,89936648.28
34,30,5137.65,2694.72,48.77,54580500.0,181315294.56
34,40,5149.53,2708.37,49.58,64980100.0,281585593.56
34,50,5157.68,2715.27,51.59,73329780.0,384621072.59
34,60,5165.81,2718.04,53.74,76454660.0,477636372.61
34,80,5174.48,2721.91,55.15,81141980.0,640661756.48
